,5_episodes_mean_img,5_episodes_mean_ram,5_episodes_mean_mix,epochs
0,5.4,4.0,4.0,1
1,6.0,4.8,6.2,2
2,5.0,5.6,5.6,3
3,4.8,5.8,5.2,4
4,4.2,6.2,7.0,5
5,4.4,6.6,7.0,6
6,4.0,6.6,5.4,7
7,4.2,7.0,5.6,8
8,4.2,6.4,5.6,9
9,5.6,6.6,4.0,10
10,6.2,6.2,4.2,11
11,5.4,5.8,3.6,12
12,5.4,4.4,3.2,13
13,5.4,5.2,3.4,14
14,5.2,5.4,3.4,15
15,5.6,6.0,3.2,16
16,6.0,6.2,5.2,17
17,5.8,7.2,5.8,18
18,6.2,7.2,5.6,19
19,5.2,6.2,7.2,20
20,3.8,6.4,8.6,21
21,3.2,7.0,7.4,22
22,3.6,5.4,6.6,23
23,3.0,4.4,6.4,24
24,3.4,4.0,6.8,25
25,3.8,3.8,6.0,26
26,4.4,2.6,5.6,27
27,4.4,3.4,7.4,28
28,4.4,4.2,7.0,29
29,4.0,5.0,5.4,30
30,4.0,4.0,5.0,31
31,5.4,5.6,5.8,32
32,4.8,6.4,5.2,33
33,5.0,7.0,5.8,34
34,5.0,8.8,5.0,35
35,4.6,9.2,6.4,36
36,3.6,7.6,6.0,37
37,3.8,6.6,5.2,38
38,3.2,5.2,5.0,39
39,3.6,2.8,6.2,40
40,3.4,3.8,4.6,41
41,2.8,4.4,5.2,42
42,3.8,5.0,5.4,43
43,4.4,5.2,5.4,44
44,4.2,5.4,4.6,45
45,4.6,4.4,5.0,46
46,4.0,3.8,4.2,47
47,3.2,3.2,4.8,48
48,3.8,3.8,5.2,49
49,4.0,4.6,5.6,50
50,4.2,4.6,5.8,51
51,4.6,5.8,5.6,52
52,4.8,6.0,4.4,53
53,4.4,5.8,3.2,54
54,4.4,4.6,2.8,55
55,4.2,7.0,2.8,56
56,5.2,7.0,3.2,57
57,4.8,7.0,3.2,58
58,4.4,8.2,4.0,59
59,5.0,8.8,4.6,60
60,5.2,7.4,5.0,61
61,4.0,7.4,5.4,62
62,5.0,8.8,5.6,63
63,6.6,9.0,4.8,64
64,6.0,9.0,4.6,65
65,6.0,8.4,4.4,66
66,6.0,7.6,3.8,67
67,5.0,6.6,4.6,68
68,3.0,4.8,5.8,69
69,3.6,4.2,6.0,70
70,4.2,4.0,5.2,71
71,4.2,4.8,5.6,72
72,5.0,4.6,6.4,73
73,5.2,4.8,6.0,74
74,5.4,5.0,5.8,75
75,5.2,5.4,5.8,76
76,5.0,3.8,5.0,77
77,4.6,3.2,3.2,78
78,5.4,4.8,3.0,79
79,4.6,4.6,2.6,80
80,4.6,3.8,5.0,81
81,5.0,4.8,6.0,82
82,5.8,5.8,7.2,83
83,4.8,3.8,7.0,84
84,6.0,3.8,7.6,85
85,7.0,4.0,6.0,86
86,8.0,4.0,5.6,87
87,6.6,3.0,5.0,88
88,7.2,3.8,5.8,89
89,7.0,3.8,6.0,90
90,6.0,4.0,5.6,91
91,5.0,3.4,8.2,92
92,5.0,4.8,7.2,93
93,4.2,4.2,6.0,94
94,3.2,6.4,4.8,95
95,2.8,5.8,4.6,96
96,3.0,6.0,2.2,97
97,3.8,4.4,4.2,98
98,5.8,5.4,4.8,99
99,5.6,3.8,5.4,100
